airport_name,city,state,state_code,faa_code,iata_code,type,slug,hub_page_url,accident_base_url
Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,GA,KATL,ATL,large_hub,hartsfield-jackson-atlanta-international,https://airportaccidents.com/hartsfield-jackson-atlanta-international/,https://airportaccidents.com/hartsfield-jackson-atlanta-international/
O'Hare International Airport,Chicago,Illinois,IL,KORD,ORD,large_hub,ohare-international,https://airportaccidents.com/ohare-international/,https://airportaccidents.com/ohare-international/
Los Angeles International Airport,Los Angeles,California,CA,KLAX,LAX,large_hub,los-angeles-international,https://airportaccidents.com/los-angeles-international/,https://airportaccidents.com/los-angeles-international/
Dallas/Fort Worth International Airport,Dallas,Texas,TX,KDFW,DFW,large_hub,dallas-fort-worth-international,https://airportaccidents.com/dallas-fort-worth-international/,https://airportaccidents.com/dallas-fort-worth-international/
Denver International Airport,Denver,Colorado,CO,KDEN,DEN,large_hub,denver-international,https://airportaccidents.com/denver-international/,https://airportaccidents.com/denver-international/
John F. Kennedy International Airport,New York,New York,NY,KJFK,JFK,large_hub,john-f-kennedy-international,https://airportaccidents.com/john-f-kennedy-international/,https://airportaccidents.com/john-f-kennedy-international/
San Francisco International Airport,San Francisco,California,CA,KSFO,SFO,large_hub,san-francisco-international,https://airportaccidents.com/san-francisco-international/,https://airportaccidents.com/san-francisco-international/
Seattle-Tacoma International Airport,Seattle,Washington,WA,KSEA,SEA,large_hub,seattle-tacoma-international,https://airportaccidents.com/seattle-tacoma-international/,https://airportaccidents.com/seattle-tacoma-international/
Harry Reid International Airport,Las Vegas,Nevada,NV,KLAS,LAS,large_hub,harry-reid-international,https://airportaccidents.com/harry-reid-international/,https://airportaccidents.com/harry-reid-international/
Orlando International Airport,Orlando,Florida,FL,KMCO,MCO,large_hub,orlando-international,https://airportaccidents.com/orlando-international/,https://airportaccidents.com/orlando-international/
Miami International Airport,Miami,Florida,FL,KMIA,MIA,large_hub,miami-international,https://airportaccidents.com/miami-international/,https://airportaccidents.com/miami-international/
George Bush Intercontinental Airport,Houston,Texas,TX,KIAH,IAH,large_hub,george-bush-intercontinental,https://airportaccidents.com/george-bush-intercontinental/,https://airportaccidents.com/george-bush-intercontinental/
Phoenix Sky Harbor International Airport,Phoenix,Arizona,AZ,KPHX,PHX,large_hub,phoenix-sky-harbor-international,https://airportaccidents.com/phoenix-sky-harbor-international/,https://airportaccidents.com/phoenix-sky-harbor-international/
Charlotte Douglas International Airport,Charlotte,North Carolina,NC,KCLT,CLT,large_hub,charlotte-douglas-international,https://airportaccidents.com/charlotte-douglas-international/,https://airportaccidents.com/charlotte-douglas-international/
Newark Liberty International Airport,Newark,New Jersey,NJ,KEWR,EWR,large_hub,newark-liberty-international,https://airportaccidents.com/newark-liberty-international/,https://airportaccidents.com/newark-liberty-international/
Minneapolis-Saint Paul International Airport,Minneapolis,Minnesota,MN,KMSP,MSP,large_hub,minneapolis-saint-paul-international,https://airportaccidents.com/minneapolis-saint-paul-international/,https://airportaccidents.com/minneapolis-saint-paul-international/
Detroit Metropolitan Wayne County Airport,Detroit,Michigan,MI,KDTW,DTW,large_hub,detroit-metropolitan-wayne-county,https://airportaccidents.com/detroit-metropolitan-wayne-county/,https://airportaccidents.com/detroit-metropolitan-wayne-county/
Philadelphia International Airport,Philadelphia,Pennsylvania,PA,KPHL,PHL,large_hub,philadelphia-international,https://airportaccidents.com/philadelphia-international/,https://airportaccidents.com/philadelphia-international/
Logan International Airport,Boston,Massachusetts,MA,KBOS,BOS,large_hub,logan-international,https://airportaccidents.com/logan-international/,https://airportaccidents.com/logan-international/
LaGuardia Airport,New York,New York,NY,KLGA,LGA,large_hub,laguardia,https://airportaccidents.com/laguardia/,https://airportaccidents.com/laguardia/
Baltimore/Washington International Thurgood Marshall Airport,Baltimore,Maryland,MD,KBWI,BWI,large_hub,baltimore-washington-international,https://airportaccidents.com/baltimore-washington-international/,https://airportaccidents.com/baltimore-washington-international/
Washington Dulles International Airport,Dulles,Virginia,VA,KIAD,IAD,large_hub,washington-dulles-international,https://airportaccidents.com/washington-dulles-international/,https://airportaccidents.com/washington-dulles-international/
Ronald Reagan Washington National Airport,Arlington,Virginia,VA,KDCA,DCA,large_hub,ronald-reagan-washington-national,https://airportaccidents.com/ronald-reagan-washington-national/,https://airportaccidents.com/ronald-reagan-washington-national/
Salt Lake City International Airport,Salt Lake City,Utah,UT,KSLC,SLC,large_hub,salt-lake-city-international,https://airportaccidents.com/salt-lake-city-international/,https://airportaccidents.com/salt-lake-city-international/
